RAM,Bağlantı Girişleri:,Bluetooth,CihazAgirligi,DokunmatikEkran,EkranBoyutu,GCMT,EkranKartiHafizasi,EkranKartiTipi,EkranKarti,EkranOzelligi,Garanti Tipi:,Görüntü Kalitesi:,HDMI:,Hard Disk Kapasitesi:,Kapasite:,Klavye:,Kullanım Amacı:,Optik Sürücü Tipi:,Optik Sürücü:,Panel Tipi:,Ram (Sistem Belleği):,Renk:,SSD Kapasitesi:,Web Color:,Çözünürlük Standartı:,Çözünürlük:,IslemciFrekansi,GHz,IslemciModeli,IslemciNesli,IslemciTipi,IslemciCekirdekSayisi,IsletimSistemi,SarJliKullanimSüresi,url,price
32,HDMI,0.0,1.0,0.0,"15,6 inç",0.0,2 GB,0.0,0.0,1.0,Distribütör Garantili,,Yok,1 TB,Yok,Q Türkçe,Ev - Okul,Yok,,IPS,4 GB,Siyah,256 GB,,Full HD (FHD),1920 x 1080,0.0,0.0,0.0,0.0,1.0,Yok,0.0,Ev - Okul,0.0,7.200
32,HDMI,0.0,1.0,0.0,"15,6 inç",0.0,2 GB,0.0,0.0,1.0,Distribütör Garantili,,Yok,1 TB,Yok,Q Türkçe,Ev - Okul,Yok,,IPS,4 GB,Gri,256 GB,,Full HD (FHD),1920 x 1080,0.0,0.0,0.0,0.0,1.0,Yok,0.0,Ev - Okul,0.0,11.599
32,HDMI,0.0,0.0,0.0,"15,6 inç",0.0,2 GB,0.0,0.0,1.0,İthalatçı Garantili,,,,250 GB,Q Türkçe,Oyun,DVD Okuyucu,,,4 GB,Altın,256 GB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,250 GB,0.0,Oyun,0.0,7.000
32,HDMI,0.0,1.0,0.0,"15,6 inç",0.0,Paylaşımlı,1.0,0.0,1.0,Distribütör Garantili,,Var,,Yok,Q Türkçe,Ofis - İş,Yok,,,8 GB,Gri,256 GB,,,1366 x 768,0.0,0.0,0.0,1.0,1.0,Yok,0.0,Ofis - İş,0.0,6.199
32,HDMI,0.0,0.0,1.0,"15,6 inç",0.0,4 GB ve altı,1.0,0.0,1.0,Distribütör Garantili,,,,256 GB,Aydınlatmalı,Ofis - İş,Yok,,,8 GB,Siyah,512 GB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,256 GB,1.0,Ofis - İş,0.0,17.549
32,HDMI,0.0,1.0,0.0,14 inç,0.0,Paylaşımlı,1.0,0.0,1.0,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,Yok,,,16 GB,Gri,1 TB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,1 TB,0.0,Ofis - İş,0.0,10.299
32,HDMI,0.0,1.0,0.0,"17,3 inç",0.0,16 GB,0.0,0.0,1.0,Distribütör Garantili,,,,Yok,Aydınlatmalı,Ofis - İş,Yok,,,16 GB,Gri,1 TB,,,3840 x 2160,0.0,0.0,0.0,1.0,1.0,Yok,1.0,Ofis - İş,0.0,51.300
32,HDMI,0.0,1.0,0.0,14 inç,0.0,2 GB,0.0,0.0,1.0,Distribütör Garantili,,,,1 TB,Q Türkçe,Ofis - İş,Yok,,,16 GB,Gri,512 GB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,1 TB,0.0,Ofis - İş,0.0,"10.211,08"
32,HDMI,0.0,1.0,0.0,"15,6 inç",0.0,Paylaşımlı,1.0,0.0,1.0,Distribütör Garantili,,,,Yok,Q Türkçe,Ev - Okul,Yok,,,8 GB,Gri,256 GB,,,1920 x 1080,0.0,0.0,0.0,1.0,1.0,Yok,0.0,Ev - Okul,0.0,6.599
32,HDMI,1.0,0.0,0.0,14 inç,0.0,4 GB,0.0,0.0,1.0,Distribütör Garantili,,,,Yok,Aydınlatmalı,Oyun,DVD Yazıcı,,,16 GB,Siyah,512 GB,,Full HD (FHD),1920 x 1080,0.0,0.0,0.0,1.0,1.0,Yok,1.0,Oyun,0.0,17.500
